Secretaria de Atenção Primária à Saúde - SAPS/MS 
Dados sujeitos à alteração 
---Descrição dos Filtros Utilizados---
"Competência: AGO/2025, JUL/2025, JUN/2025, MAI/2025, ABR/2025, MAR/2025, FEV/2025, JAN/2025."
Estado: SP.
Tipo de Produção: Atendimento Individual.
"Categoria Profissional: Agente comunitário de saúde, Agente de combate a endemias, Agente de saúde, Assistente Social, Cirurgião dentista, Educador social, Enfermeiro, Farmacêutico, Fisioterapeuta, Fonoaudiólogo, Médico, Médico veterinário, Nutricionista, Outros prof. de nível médio, Outros prof. de nível superior, Profissional de educação física, Psicólogo, Sanitarista, Técnico e auxiliar de enfermagem, Técnico e auxiliar de saúde bucal, Terapeuta ocupacional, Naturólogo, Musicoterapeuta, Arteterapeuta, Recepcionista, Terapeuto Holístico."
"Sexo: Masculino, Feminino."
"Local de Atendimento: 01 - Ubs, 02 - Unidade móvel, 03 - Rua, 04 - Domicílio, 05 - Escola/creche, 06 - Outros, 07 - Polo (academia da saúde), 08 - Instituição/abrigo, 09 - Unidade prisional ou congêneres, 10 - Unidade socioeducativa."
"Tipo de Atendimento: Cons. agen. prog/cuid. cont., Consulta agendada, Dem. esp. esc. inicial/orient., Dem. esp. consulta no dia, Dem. esp. atendimento urgência."
"Ações do NASF / Polo da Academia de Saúde: Avaliação / diagnóstico, Procedimentos clínicos / terapêutico, Prescrição terapêutica."
"Probl/ Condição Avaliada: Diabetes, Hipertensão arterial."
"Conduta: Agendamento p/ NASF, Agendamento para grupos, Alta do episódio, Encaminhamento interno no dia, Encaminhamento intersetorial, Encaminhamento p/ CAPS, Encaminhamento p/ internação hospitalar, Encaminhamento p/ serviço de atenção domiciliar, Encaminhamento p/ serviço especializado, Encaminhamento p/ urgência, Retorno p/ cuidado continuado/programado, Retorno para consulta agendada."


Uf;Ibge;Municipio;Diabetes;Hipertensão arterial;
SP;350860;CACHOEIRA PAULISTA;409;702;
SP;355630;VALPARAÍSO;260;490;
SP;353200;MORUNGABA;1;0;
SP;355300;TAGUAÍ;29;25;
SP;351040;CAPIVARI;1;3;
SP;354890;SÃO CARLOS;1;3;
SP;354630;SANTA CRUZ DAS PALMEIRAS;227;516;
SP;352220;ITAPECERICA DA SERRA;3;6;
SP;352000;IGARAÇU DO TIETÊ;44;98;
SP;352885;MARAPOAMA;0;1;
SP;350680;BOCAINA;0;2;
SP;354080;POTIRENDABA;8;9;
SP;352080;INÚBIA PAULISTA;173;229;
SP;355250;SUZANO;1.924;3.968;
SP;351350;CUBATÃO;1.042;2.027;
SP;351750;GUAPIAÇU;3;5;
SP;353050;MOCOCA;213;395;
SP;351540;FARTURA;16;27;
SP;352840;MAIRINQUE;43;106;
SP;354770;SANTO ANASTÁCIO;6;9;
SP;354995;SÃO LOURENÇO DA SERRA;59;80;
SP;355410;TAUBATÉ;2;4;
SP;350635;BERTIOGA;2;4;
SP;351300;COTIA;275;496;
SP;354910;SÃO JOÃO DA BOA VISTA;1;13;
SP;354425;ROSANA;3;0;
SP;354820;SANTO ANTÔNIO DO PINHAL;4;2;
SP;351790;GUARACI;4;9;
SP;350920;CAJAMAR;1;2;
SP;350390;ARUJÁ;3;4;
SP;352050;INDAIATUBA;11;22;
SP;354440;RUBIÁCEA;0;1;
SP;350850;CAÇAPAVA;1;3;
SP;350780;BRODOWSKI;1;3;
SP;351460;DUMONT;2;1;
SP;353625;PARISI;2;2;
SP;354330;RIBEIRÃO PIRES;1;2;
SP;354710;SANTA MERCEDES;1;1;
SP;352470;JAGUARIÚNA;22;40;
SP;353630;PATROCÍNIO PAULISTA;0;3;
SP;351060;CARAPICUÍBA;1;3;
SP;351550;FERNANDÓPOLIS;66;82;
SP;352620;JUQUITIBA;21;23;
SP;352730;LOUVEIRA;1;0;
SP;352930;MATÃO;0;1;
SP;350010;ADAMANTINA;27;73;
SP;353710;PEDREIRA;2;6;
SP;352530;JAÚ;1.616;3.812;
SP;352720;LORENA;2;10;
SP;354640;SANTA CRUZ DO RIO PARDO;10;0;
SP;351970;IBIÚNA;530;886;
SP;354800;SANTO ANTÔNIO DE POSSE;5;5;
SP;355395;TARUMÃ;17;18;
SP;355320;TAIÚVA;64;119;
SP;352880;MARACAÍ;389;636;
SP;352290;ITAPUÍ;0;2;
SP;352150;IRAPUÃ;59;14;
SP;350750;BOTUCATU;4;1;
SP;350830;CABRÁLIA PAULISTA;6;8;
SP;352210;ITANHAÉM;1.421;2.905;
SP;351130;CEDRAL;0;3;
SP;351110;CATANDUVA;374;663;
SP;355610;VALENTIM GENTIL;1;0;
SP;353440;OSASCO;1;3;
SP;351510;EMBU-GUAÇU;0;3;
SP;351500;EMBU DAS ARTES;2;7;
SP;350610;BEBEDOURO;355;800;
SP;350820;BURITIZAL;71;69;
SP;352360;ITIRAPINA;0;2;
SP;350335;ARCO-ÍRIS;104;226;
SP;353980;POÁ;137;241;
SP;351270;CORUMBATAÍ;0;1;
SP;350970;CAMPOS DO JORDÃO;232;493;
SP;351660;GÁLIA;64;146;
SP;355350;TAPIRAÍ;37;74;
SP;352590;JUNDIAÍ;2;0;
SP;351700;GETULINA;0;2;
SP;355370;TAQUARITINGA;17;98;
SP;354980;SÃO JOSÉ DO RIO PRETO;1.326;1.168;
SP;350990;CANANÉIA;5;11;
SP;352250;ITAPEVI;70;80;
SP;350945;CAMPINA DO MONTE ALEGRE;1;1;
SP;351880;GUARULHOS;7.084;12.574;
SP;353190;MORRO AGUDO;4;4;
SP;352770;LUIZIÂNIA;2;5;
SP;351730;GUAIMBÊ;5;0;
SP;353760;PERUÍBE;171;213;
SP;351518;ESPÍRITO SANTO DO PINHAL;251;508;
SP;355160;SERRA NEGRA;70;102;
SP;350250;APARECIDA;107;216;
SP;350760;BRAGANÇA PAULISTA;25;52;
SP;352440;JACAREÍ;2;4;
SP;352920;MARTINÓPOLIS;55;144;
SP;355510;TUPI PAULISTA;20;2;
SP;354360;RIFAINA;28;2;
SP;355380;TAQUARITUBA;17;0;
SP;350260;APARECIDA D'OESTE;0;1;
SP;352500;JANDIRA;14;49;
SP;350410;ATIBAIA;2;1;
SP;355060;SÃO ROQUE;243;397;
SP;351930;IBATÉ;18;38;
SP;354140;PRESIDENTE PRUDENTE;301;566;
SP;350100;ALTINÓPOLIS;130;269;
SP;354390;RIO CLARO;0;2;
SP;352310;ITAQUAQUECETUBA;171;313;
SP;352330;ITARIRI;1;1;
SP;350530;BARRA BONITA;1;1;
SP;351570;FERRAZ DE VASCONCELOS;1;1;
SP;351240;CORDEIRÓPOLIS;47;63;
SP;354130;PRESIDENTE EPITÁCIO;553;925;
SP;353670;PEDERNEIRAS;2;3;
SP;355540;UBATUBA;18;16;
SP;355030;SÃO PAULO;723;828;
SP;352690;LIMEIRA;144;252;
SP;355220;SOROCABA;1;7;
SP;354340;RIBEIRÃO PRETO;8;16;
SP;350660;BIRITIBA-MIRIM;1;0;
SP;350900;CAIEIRAS;41;86;
SP;354410;RIO GRANDE DA SERRA;1.639;3.122;
SP;354840;SANTÓPOLIS DO AGUAPEÍ;0;1;
SP;355430;TEODORO SAMPAIO;277;648;
SP;353010;MIRANDÓPOLIS;2;2;
SP;350070;AGUDOS;50;121;
SP;352990;MIRACATU;448;644;
SP;354150;PRESIDENTE VENCESLAU;0;2;
SP;354025;PONTALINDA;1;2;
SP;353350;NOVO HORIZONTE;124;26;
SP;352940;MAUÁ;2.410;6.526;
SP;350090;ALTAIR;501;687;
SP;353900;PIRANGI;0;1;
